### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; productivity; quality; param
0.775; 0; 0; 21
0.825; 0; 0; 21
0.875; 0; 0; 21
0.925; 0; 0; 21
0.975; 0; 0; 21
0.025; 0; 0; 22
0.075; 0; 0; 22
0.125; 0; 0; 22
0.175; 0; 0; 22
0.225; 0; 0; 22
0.275; 0; 0.124948; 22
0.325; 0; 0; 22
0.375; 0; 0.458142; 22
0.425; 0.0416493; 30.737; 22
0.475; 0; 30.7786; 22
0.525; 0.124948; 30.2372; 22
0.575; 0.0832986; 7.58019; 22
0.625; 0.166597; 0; 22
0.675; 79.2599; 0; 22
0.725; 20.3248; 0.0832986; 22
0.775; 0; 0; 22
0.825; 0; 0; 22
0.875; 0; 0; 22
0.925; 0; 0; 22
0.975; 0; 0; 22
0.025; 0; 0; 23
0.075; 0; 0; 23
0.125; 0; 0; 23
0.175; 0.458142; 0; 23
0.225; 0.0416493; 0; 23
0.275; 0.0416493; 0; 23
0.325; 7.3303; 0; 23
0.375; 16.743; 0; 23
0.425; 75.3863; 40.6077; 23
0.475; 0; 37.3175; 23
0.525; 0; 7.3303; 23
0.575; 0; 3.1237; 23
0.625; 0; 8.28823; 23
0.675; 0; 3.33195; 23
0.725; 0; 0; 23
0.775; 0; 0; 23
0.825; 0; 0; 23
0.875; 0; 0; 23
0.925; 0; 0; 23
0.975; 0; 0; 23
0.025; 0; 0; 24
0.075; 0; 0; 24
0.125; 0; 0; 24
0.175; 0; 0; 24
0.225; 0; 0; 24
0.275; 0; 0; 24
0.325; 0; 0; 24
0.375; 0; 0; 24
0.425; 0.0416493; 18.5339; 24
0.475; 0.124948; 17.9925; 24
0.525; 0; 27.1135; 24
0.575; 1.79092; 35.2351; 24
0.625; 57.1845; 1.12453; 24
0.675; 40.8576; 0; 24
0.725; 0; 0; 24
0.775; 0; 0; 24
0.825; 0; 0; 24
0.875; 0; 0; 24
0.925; 0; 0; 24
0.975; 0; 0; 24
0.025; 0; 0; 25
0.075; 0; 0; 25
0.125; 0; 0; 25
0.175; 0; 0; 25
0.225; 0; 0; 25
0.275; 0; 0.499792; 25
0.325; 0; 0; 25
0.375; 0; 0; 25
0.425; 0.499792; 1.33278; 25
0.475; 0; 35.2767; 25
0.525; 3.37359; 23.615; 25
0.575; 64.4319; 7.58019; 25
0.625; 31.6949; 11.8701; 25
0.675; 0; 19.825; 25
0.725; 0; 0; 25
0.775; 0; 0; 25
0.825; 0; 0; 25
0.875; 0; 0; 25
0.925; 0; 0; 25
0.975; 0; 0; 25
0.025; 0; 0; 26
0.075; 0; 0; 26
0.125; 0; 0; 26
0.175; 0; 0; 26
0.225; 0; 0; 26
0.275; 0; 0; 26
0.325; 0; 0; 26
0.375; 0; 0; 26
0.425; 0; 4.66473; 26
0.475; 0; 54.3521; 26
0.525; 8.49648; 40.9826; 26
0.575; 91.5055; 0; 26
0.625; 0; 0; 26
0.675; 0; 0; 26
0.725; 0; 0; 26
0.775; 0; 0; 26
0.825; 0; 0; 26
0.875; 0; 0; 26
0.925; 0; 0; 26
0.975; 0; 0; 26
0.025; 0; 0; 27
0.075; 0; 0; 27
0.125; 0; 0; 27
0.175; 0; 0; 27
0.225; 0; 0; 27
0.275; 0; 0; 27
0.325; 0; 0; 27
0.375; 0; 0; 27
0.425; 0; 4.70638; 27
0.475; 0; 49.8954; 27
0.525; 0; 13.2445; 27
0.575; 15.4519; 13.6193; 27
0.625; 84.5496; 18.5339; 27
0.675; 0; 0; 27
0.725; 0; 0; 27
0.775; 0; 0; 27
0.825; 0; 0; 27
0.875; 0; 0; 27
0.925; 0; 0; 27
0.975; 0; 0; 27
0.025; 0; 0; 28
0.075; 0; 0; 28
0.125; 0; 0; 28
0.175; 0; 0; 28
0.225; 0; 0; 28
0.275; 0; 0; 28
0.325; 0; 0; 28
0.375; 0.416493; 0; 28
0.425; 0.374844; 1.49938; 28
0.475; 0; 40.9409; 28
0.525; 57.6843; 32.5279; 28
0.575; 41.524; 12.4948; 28
0.625; 0; 12.2866; 28
0.675; 0; 0.249896; 28
0.725; 0; 0; 28
0.775; 0; 0; 28
0.825; 0; 0; 28
0.875; 0; 0; 28
0.925; 0; 0; 28
0.975; 0; 0; 28
0.025; 0; 0; 29
0.075; 0; 0; 29
0.125; 0; 0; 29
0.175; 0; 0.166597; 29
0.225; 0.0416493; 0; 29
0.275; 0; 0; 29
0.325; 0.58309; 0.416493; 29
0.375; 0; 0; 29
0.425; 0.0832986; 10.9122; 29
0.475; 0; 21.2411; 29
0.525; 32.4029; 30.3621; 29
0.575; 66.8893; 29.2376; 29
0.625; 0; 7.66349; 29
0.675; 0; 0; 29
0.725; 0; 0; 29
0.775; 0; 0; 29
0.825; 0; 0; 29
0.875; 0; 0; 29
