### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

quantity; frequency; param
26.2789; 0; 40
41.6493; 0; 40
66.0097; 0; 40
0.0416493; 4; 41
0.0660097; 0; 41
0.104618; 0; 41
0.165809; 0; 41
0.262789; 4; 41
0.416493; 4; 41
0.660097; 8; 41
1.04618; 8; 41
1.65809; 12; 41
2.62789; 24; 41
4.16493; 16; 41
6.60097; 20; 41
10.4618; 0; 41
16.5809; 0; 41
26.2789; 0; 41
41.6493; 0; 41
66.0097; 0; 41
0.0416493; 0; 42
0.0660097; 0; 42
0.104618; 0; 42
0.165809; 0; 42
0.262789; 0; 42
0.416493; 6.25; 42
0.660097; 0; 42
1.04618; 0; 42
1.65809; 12.5; 42
2.62789; 6.25; 42
4.16493; 31.25; 42
6.60097; 43.75; 42
10.4618; 0; 42
16.5809; 0; 42
26.2789; 0; 42
41.6493; 0; 42
66.0097; 0; 42
0.0416493; 5.55556; 43
0.0660097; 5.55556; 43
0.104618; 5.55556; 43
0.165809; 0; 43
0.262789; 5.55556; 43
0.416493; 0; 43
0.660097; 5.55556; 43
1.04618; 5.55556; 43
1.65809; 5.55556; 43
2.62789; 5.55556; 43
4.16493; 16.6667; 43
6.60097; 27.7778; 43
10.4618; 11.1111; 43
16.5809; 0; 43
26.2789; 0; 43
41.6493; 0; 43
66.0097; 0; 43
0.0416493; 4; 44
0.0660097; 4; 44
0.104618; 4; 44
0.165809; 0; 44
0.262789; 0; 44
0.416493; 4; 44
0.660097; 4; 44
1.04618; 12; 44
1.65809; 12; 44
2.62789; 12; 44
4.16493; 28; 44
6.60097; 16; 44
10.4618; 0; 44
16.5809; 0; 44
26.2789; 0; 44
41.6493; 0; 44
66.0097; 0; 44
0.0416493; 5; 45
0.0660097; 0; 45
0.104618; 0; 45
0.165809; 0; 45
0.262789; 0; 45
0.416493; 0; 45
0.660097; 5; 45
1.04618; 10; 45
1.65809; 25; 45
2.62789; 15; 45
4.16493; 10; 45
6.60097; 20; 45
10.4618; 10; 45
16.5809; 0; 45
26.2789; 0; 45
