### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
510; 40.35; 5.94724; 0.578984; 0.264437; 0.314547; 0.100927; 0.943885; 0.873762; 0.399032; 0.252698; 0.772613; 3
540; 39.425; 5.92827; 0.580517; 0.265737; 0.314779; 0.0994523; 0.943979; 0.876908; 0.400685; 0.254329; 0.772941; 3
570; 38.69; 5.95316; 0.581659; 0.266787; 0.314872; 0.0992003; 0.943624; 0.875955; 0.399409; 0.25348; 0.773093; 3
600; 38.295; 5.96643; 0.582773; 0.267982; 0.31479; 0.100704; 0.94265; 0.875133; 0.398224; 0.251914; 0.774036; 3
630; 37.705; 5.99398; 0.583305; 0.268705; 0.3146; 0.100758; 0.942086; 0.874939; 0.39743; 0.251323; 0.774648; 3
660; 37.31; 5.98888; 0.584077; 0.269408; 0.314668; 0.0997793; 0.942581; 0.875728; 0.398274; 0.251704; 0.773743; 3
690; 37.145; 5.96163; 0.58409; 0.269837; 0.314253; 0.100579; 0.942159; 0.876922; 0.398811; 0.25199; 0.77444; 3
720; 36.395; 5.99796; 0.585413; 0.270891; 0.314522; 0.10055; 0.941887; 0.878638; 0.394542; 0.249325; 0.775755; 3
750; 35.725; 5.96745; 0.586314; 0.271781; 0.314533; 0.0990691; 0.942185; 0.880068; 0.398157; 0.251731; 0.774445; 3
780; 35.52; 5.9703; 0.586932; 0.272296; 0.314636; 0.0985298; 0.941879; 0.878224; 0.396541; 0.251064; 0.775287; 3
810; 35.465; 5.97725; 0.587672; 0.272961; 0.314711; 0.0999209; 0.941765; 0.879997; 0.398778; 0.252778; 0.773992; 3
840; 35.095; 5.99398; 0.587786; 0.273501; 0.314285; 0.0982403; 0.941911; 0.881575; 0.395993; 0.2501; 0.776731; 3
870; 34.945; 6.02704; 0.588054; 0.273678; 0.314376; 0.0992274; 0.941594; 0.880953; 0.393259; 0.248403; 0.776288; 3
900; 34.765; 6.03286; 0.58935; 0.274621; 0.31473; 0.0977655; 0.941818; 0.881765; 0.395383; 0.249775; 0.776393; 3
930; 34.555; 6.00102; 0.589856; 0.275214; 0.314642; 0.0956643; 0.942104; 0.883155; 0.39368; 0.248625; 0.777582; 3
960; 34.25; 6.02184; 0.589869; 0.275475; 0.314394; 0.0962245; 0.942117; 0.885446; 0.394352; 0.248631; 0.776132; 3
990; 34.035; 6.03704; 0.590868; 0.276283; 0.314585; 0.0975385; 0.941263; 0.883795; 0.394392; 0.248577; 0.776697; 3
1020; 33.825; 6.02265; 0.591311; 0.276715; 0.314597; 0.0976927; 0.941304; 0.883297; 0.394363; 0.249383; 0.776084; 3
1050; 33.76; 6.03031; 0.591681; 0.277144; 0.314537; 0.0991274; 0.941157; 0.881686; 0.394317; 0.248978; 0.776625; 3
1080; 33.965; 6.00918; 0.592289; 0.277629; 0.314659; 0.0964161; 0.941356; 0.885989; 0.395329; 0.249835; 0.777631; 3
1110; 33.27; 6.00133; 0.592956; 0.27837; 0.314586; 0.0981695; 0.940793; 0.885393; 0.396258; 0.250705; 0.777624; 3
1140; 33.185; 6.02775; 0.594047; 0.279126; 0.314921; 0.0995835; 0.940434; 0.882657; 0.394286; 0.249442; 0.777829; 3
1170; 33.36; 6.02847; 0.593515; 0.279008; 0.314507; 0.0987609; 0.940822; 0.884054; 0.393076; 0.247405; 0.778963; 3
1200; 33.345; 6.04204; 0.594974; 0.28013; 0.314844; 0.099394; 0.94002; 0.882508; 0.393984; 0.248841; 0.778489; 3
1230; 33; 6.08694; 0.595008; 0.280514; 0.314493; 0.0981653; 0.940596; 0.885119; 0.390785; 0.245895; 0.778168; 3
1260; 32.87; 6.04817; 0.595755; 0.281087; 0.314668; 0.0971262; 0.94071; 0.88557; 0.396549; 0.249936; 0.776666; 3
1290; 32.65; 6.06531; 0.596669; 0.281935; 0.314734; 0.0999313; 0.939881; 0.883911; 0.393201; 0.248076; 0.778511; 3
1320; 32.52; 6.04714; 0.597397; 0.282457; 0.31494; 0.0990337; 0.939767; 0.881982; 0.394013; 0.249172; 0.778676; 3
1350; 32.695; 6.0749; 0.597474; 0.282802; 0.314672; 0.0992545; 0.939453; 0.882753; 0.392201; 0.247227; 0.778296; 3
1380; 32.515; 6.08143; 0.597834; 0.283295; 0.314539; 0.100429; 0.939198; 0.883725; 0.391541; 0.24657; 0.778508; 3
1410; 32.33; 6.02449; 0.598852; 0.284032; 0.31482; 0.101156; 0.938551; 0.881255; 0.394985; 0.2499; 0.778332; 3
1440; 32.16; 6.04827; 0.598476; 0.283945; 0.314531; 0.0997022; 0.938888; 0.882659; 0.394161; 0.248692; 0.778875; 3
1470; 31.9; 6.05347; 0.599593; 0.284876; 0.314717; 0.100931; 0.938651; 0.884375; 0.394332; 0.248747; 0.778439; 3
1500; 31.615; 6.03551; 0.600193; 0.285232; 0.31496; 0.101195; 0.938784; 0.885044; 0.394611; 0.249516; 0.779322; 3
1530; 31.66; 6.05276; 0.600329; 0.285607; 0.314721; 0.0999167; 0.938903; 0.885905; 0.393688; 0.248905; 0.779715; 3
1560; 31.47; 6.08531; 0.600978; 0.286276; 0.314703; 0.102105; 0.938342; 0.882935; 0.391962; 0.247217; 0.779087; 3
1590; 31.5; 6.05592; 0.600954; 0.286627; 0.314328; 0.102932; 0.93793; 0.884516; 0.39289; 0.248149; 0.779781; 3
1620; 31.21; 6.05092; 0.601725; 0.287203; 0.314522; 0.101204; 0.938105; 0.883717; 0.394688; 0.249563; 0.779043; 3
1650; 31.23; 6.09479; 0.600985; 0.286791; 0.314194; 0.100975; 0.938165; 0.883355; 0.392561; 0.247543; 0.778405; 3
1680; 31.15; 6.07194; 0.602023; 0.287505; 0.314518; 0.10208; 0.937883; 0.884043; 0.390654; 0.246424; 0.781917; 3
1710; 31.03; 6.06776; 0.602228; 0.287739; 0.314489; 0.102141; 0.937692; 0.885486; 0.391764; 0.247199; 0.781361; 3
1740; 30.7; 6.10969; 0.60239; 0.288075; 0.314315; 0.102882; 0.937823; 0.886243; 0.391647; 0.246957; 0.780355; 3
1770; 30.72; 6.11582; 0.602629; 0.288332; 0.314297; 0.0996148; 0.93838; 0.886799; 0.390687; 0.246228; 0.780194; 3
1800; 30.75; 6.10877; 0.603665; 0.28905; 0.314615; 0.101193; 0.937642; 0.886394; 0.39221; 0.247713; 0.778776; 3
1830; 30.6; 6.09908; 0.603552; 0.289199; 0.314353; 0.100181; 0.938272; 0.886965; 0.391251; 0.246627; 0.780467; 3
1860; 30.71; 6.09143; 0.604191; 0.289587; 0.314604; 0.101962; 0.937812; 0.886513; 0.392795; 0.247579; 0.779928; 3
1890; 30.495; 6.12714; 0.604378; 0.289928; 0.31445; 0.101202; 0.937627; 0.883527; 0.391856; 0.246875; 0.778869; 3
1920; 30.955; 6.09439; 0.605033; 0.290516; 0.314517; 0.100506; 0.938347; 0.887435; 0.392199; 0.247299; 0.7806; 3
1950; 30.53; 6.10306; 0.60492; 0.29065; 0.31427; 0.102564; 0.937241; 0.884298; 0.39211; 0.24705; 0.779188; 3
1980; 30.525; 6.11622; 0.605275; 0.291006; 0.314269; 0.101412; 0.937176; 0.883719; 0.390973; 0.246309; 0.780152; 3
