### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
2070; 18; 4.18367; 0.41966; 0.118132; 0.301528; 0.109954; 0.914716; 0.903986; 0.435235; 0.28523; 0.788942; 0
2100; 18; 4.14286; 0.410693; 0.116268; 0.294425; 0.112453; 0.916891; 0.907194; 0.451479; 0.283844; 0.765434; 0
2130; 19; 4.22449; 0.425571; 0.119396; 0.306176; 0.112037; 0.910472; 0.918891; 0.441066; 0.291987; 0.786681; 0
2160; 17; 3.87755; 0.421398; 0.117343; 0.304054; 0.109954; 0.913261; 0.900301; 0.452728; 0.302264; 0.821184; 0
2190; 17; 4.08163; 0.414444; 0.115664; 0.29878; 0.102874; 0.910417; 0.874888; 0.458559; 0.295098; 0.778968; 0
2220; 19; 4.26531; 0.425007; 0.119481; 0.305526; 0.122449; 0.899212; 0.893779; 0.438151; 0.286777; 0.780294; 0
2250; 15; 4.73469; 0.417852; 0.116735; 0.301117; 0.102041; 0.913932; 0.896604; 0.435235; 0.280538; 0.770457; 0
2280; 17; 4.28571; 0.423605; 0.117915; 0.305689; 0.114536; 0.910527; 0.889777; 0.428988; 0.280818; 0.784962; 0
2310; 16; 4.02041; 0.416749; 0.114737; 0.302012; 0.0999584; 0.910052; 0.88575; 0.472303; 0.308553; 0.761496; 0
2340; 18; 4.34694; 0.414771; 0.118085; 0.296686; 0.112037; 0.908279; 0.897775; 0.438567; 0.278149; 0.770174; 0
2370; 16; 4.40816; 0.417914; 0.118088; 0.299826; 0.100375; 0.913595; 0.898973; 0.442316; 0.286148; 0.776067; 0
2400; 17; 4.46939; 0.423288; 0.118392; 0.304896; 0.0978759; 0.917368; 0.926459; 0.453561; 0.296254; 0.77032; 0
2430; 16; 4.34694; 0.415788; 0.116867; 0.29892; 0.122032; 0.91364; 0.922984; 0.443982; 0.288298; 0.751792; 0
2460; 16; 4.5102; 0.413332; 0.114728; 0.298604; 0.092878; 0.919578; 0.861205; 0.43232; 0.279747; 0.765047; 0
2490; 21; 4.26531; 0.424058; 0.119069; 0.304988; 0.093711; 0.918348; 0.871556; 0.484381; 0.321822; 0.784807; 0
2520; 21; 3.95918; 0.419422; 0.117901; 0.301521; 0.11162; 0.917019; 0.901556; 0.446481; 0.296841; 0.787141; 0
2550; 18; 3.91837; 0.413894; 0.11402; 0.299874; 0.0966264; 0.916261; 0.8373; 0.448147; 0.294104; 0.795009; 0
2580; 22; 4.12245; 0.424853; 0.1192; 0.305653; 0.143274; 0.90777; 0.87174; 0.43107; 0.282416; 0.791449; 0
2610; 19; 4.04082; 0.419373; 0.117433; 0.30194; 0.129113; 0.905221; 0.851999; 0.444815; 0.295702; 0.773458; 0
2640; 19; 4.08163; 0.428153; 0.121593; 0.30656; 0.121199; 0.906657; 0.859324; 0.448563; 0.300513; 0.794306; 0
2670; 17; 4.22449; 0.422725; 0.117799; 0.304926; 0.11162; 0.915215; 0.880696; 0.438567; 0.286343; 0.799104; 0
2700; 19; 4.14286; 0.42263; 0.11937; 0.303261; 0.111204; 0.914124; 0.889024; 0.449396; 0.294231; 0.780013; 0
2730; 18; 4.36735; 0.424305; 0.120929; 0.303377; 0.118701; 0.906203; 0.857201; 0.436485; 0.285077; 0.776319; 0
2760; 18; 4.22449; 0.420343; 0.117678; 0.302665; 0.108288; 0.910283; 0.874987; 0.418992; 0.264839; 0.80038; 0
2790; 18; 4.14286; 0.414236; 0.119685; 0.294552; 0.129529; 0.903797; 0.88373; 0.443982; 0.286063; 0.772566; 0
