### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
1890; 24.71; 6.42378; 0.629415; 0.313585; 0.31583; 0.109554; 0.925352; 0.886424; 0.376887; 0.232814; 0.791993; 10
1920; 24.505; 6.38469; 0.630476; 0.314256; 0.31622; 0.109879; 0.924924; 0.889387; 0.376858; 0.233453; 0.793989; 10
1950; 24.315; 6.40632; 0.629955; 0.314164; 0.315791; 0.109833; 0.92497; 0.885212; 0.374558; 0.231476; 0.793684; 10
1980; 24.57; 6.37786; 0.630231; 0.314498; 0.315733; 0.108276; 0.924777; 0.887731; 0.376697; 0.23286; 0.793977; 10
2010; 24.365; 6.40368; 0.630836; 0.314994; 0.315842; 0.107999; 0.924549; 0.890554; 0.376252; 0.232777; 0.792764; 10
2040; 23.855; 6.40327; 0.630447; 0.31501; 0.315436; 0.108274; 0.924575; 0.888725; 0.376308; 0.232532; 0.793455; 10
2070; 24.06; 6.4151; 0.630892; 0.315224; 0.315668; 0.110616; 0.924308; 0.887917; 0.374779; 0.231691; 0.793841; 10
2100; 23.945; 6.39898; 0.631516; 0.315754; 0.315762; 0.110791; 0.924092; 0.890617; 0.376655; 0.232637; 0.793959; 10
2130; 24.06; 6.42592; 0.631229; 0.315645; 0.315584; 0.109586; 0.924616; 0.888546; 0.375316; 0.231805; 0.792804; 10
2160; 24.01; 6.39081; 0.631798; 0.316111; 0.315687; 0.109277; 0.924368; 0.889076; 0.377468; 0.23325; 0.793201; 10
2190; 23.88; 6.41377; 0.631627; 0.316163; 0.315463; 0.10802; 0.924543; 0.89226; 0.375473; 0.231901; 0.794227; 10
2220; 23.785; 6.42051; 0.632154; 0.316402; 0.315751; 0.108759; 0.924315; 0.890322; 0.37439; 0.231383; 0.794728; 10
2250; 23.72; 6.37755; 0.632202; 0.31656; 0.315642; 0.109259; 0.924058; 0.891419; 0.376972; 0.233141; 0.793959; 10
