Nvariety;Reference;Data;Specie
22;Quiroz et al. (1990);1987;Potato
17;Quiroz et al. (1990);1987;Potato
16;Quiroz et al. (1990);1987;Potato
15;Quiroz et al. (1990);1987;Potato
14;Quiroz et al. (1990);1987;Potato
14;Quiroz et al. (1990);1987;Potato
11;Quiroz et al. (1990);1987;Potato
11;Quiroz et al. (1990);1987;Potato
8;Quiroz et al. (1990);1987;Potato
30;Brush et al. (1981);1979;Potato
23;Brush et al. (1981);1979;Potato
19;Brush et al. (1981);1979;Potato
18;Brush et al. (1981);1979;Potato
13;Brush et al. (1981);1979;Potato
11;Brush et al. (1981);1979;Potato
11;Brush et al. (1981);1979;Potato
7;Brush et al. (1981);1979;Potato
6;Brush et al. (1981);1979;Potato
5;Brush et al. (1981);1979;Potato
10;Winter et al. (2005);1999;Potato
9;Winter et al. (2005);1999;Potato
9;Winter et al. (2005);1999;Potato
8;Winter et al. (2005);1999;Potato
8;Winter et al. (2005);1999;Potato
8;Winter et al. (2005);1999;Potato
8;Winter et al. (2005);1999;Potato
8;Winter et al. (2005);1999;Potato
7;Winter et al. (2005);1999;Potato
7;Winter et al. (2005);1999;Potato
7;Winter et al. (2005);1999;Potato
7;Winter et al. (2005);1999;Potato
7;Winter et al. (2005);1999;Potato
7;Winter et al. (2005);1999;Potato
7;Winter et al. (2005);1999;Potato
7;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
6;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
5;Winter et al. (2005);1999;Potato
