### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

DU;Type;difference;Time
23;0;-0.00328207;8
23;1;0.202886;8
44;0;0.00250083;8
44;1;0.168543;8
12;0;0.0196924;8
12;1;0.216699;8
11;0;0.0101544;8
11;1;0.184894;8
4;0;8.66055e-05;8
4;1;0.229458;8
46;0;0.0133978;8
46;1;0.174494;8
32;0;0.00844395;8
32;1;0.237699;8
25;0;0.0183691;8
25;1;0.255838;8
17;0;0.00795537;8
17;1;0.245377;8
34;0;0.00292033;8
34;1;0.229385;8
20;0;-0.00348389;8
20;1;0.224433;8
19;0;0.0176138;8
19;1;0.229385;8
10;0;0.0143926;8
10;1;0.199766;8
5;0;0.00351089;8
5;1;0.181383;8
31;0;0.0185417;8
31;1;0.175293;8
7;0;-0.00156349;8
7;1;0.224433;8
39;0;0.0131809;8
39;1;0.164492;8
47;0;0.011293;8
47;1;0.260139;8
37;0;-0.00313699;8
37;1;0.233509;8
28;0;0.0309976;8
28;1;0.250328;8
22;0;0.0117044;8
22;1;0.183466;8
45;0;-0.00250083;8
45;1;0.174466;8
3;0;-8.66055e-05;8
3;1;0.22571;8
24;0;0.00328207;8
24;1;0.213536;8
40;0;0.0147969;8
40;1;0.173225;8
15;0;0.0157573;8
15;1;0.188325;8
18;0;0.00348389;8
18;1;0.204875;8
36;0;0.00313699;8
36;1;0.183923;8
1;0;0.0255385;8
1;1;0.263678;8
6;0;0.00156349;8
6;1;0.220434;8
38;0;0.0332271;8
38;1;0.198546;8
43;0;0.0160066;8
43;1;0.237431;8
29;0;0.0159125;8
29;1;0.197269;8
0;0;0.0158136;8
0;1;0.252743;8
8;0;0.00737011;8
8;1;0.218088;8
9;0;0.0069477;8
9;1;0.182899;8
14;0;-0.0140336;8
14;1;0.182138;8
8;0;0.00949574;9
8;1;0.218088;9
5;0;0.00411129;9
5;1;0.181091;9
20;0;-0.00748175;9
20;1;0.213742;9
2;0;0.00166744;9
2;1;0.224093;9
12;0;0.0240552;9
12;1;0.216699;9
33;0;0.00312108;9
33;1;0.219781;9
21;0;0.0216002;9
21;1;0.134376;9
37;0;-0.0069102;9
37;1;0.220959;9
36;0;0.00802881;9
36;1;0.183923;9
40;0;0.0156884;9
40;1;0.173055;9
0;0;0.018126;9
0;1;0.251548;9
45;0;-0.00625759;9
45;1;0.173277;9
